,星期一,星期二,星期三,星期四,星期五,major
0,"[S資訊管理大樓],[0-5分鐘],","[EE綜合教學大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[EE綜合教學大樓],[5-10分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[不在學校],","[不在學校],","[不在學校],",資訊學院
2,"[不在學校],","[不在學校],","[不在學校],","[不在學校],","[不在學校],,",資訊學院
0,"[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[體育一館],[0-5分鐘],","[M設計大樓],[0-5分鐘],","[M設計大樓],[0-5分鐘],","[體育一館],[0-5分鐘],","[體育一館],[0-5分鐘],,",資訊學院
2,"x,x,x,x","[M設計大樓],[0-5分鐘],","[M設計大樓],[0-5分鐘],","[M設計大樓],[0-5分鐘],","[M設計大樓],[0-5分鐘],",資訊學院
0,"[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[體育一館],[0-5分鐘],",資訊學院
2,"x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x",資訊學院
0,"[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[0-5分鐘],",資訊學院
1,"x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x",資訊學院
2,"x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x","x,x,x,x",資訊學院
0,"[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],",資訊學院
1,"[AA科技大樓],[0-5分鐘],,[Q行政大樓OR圖書館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[二餐],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[二餐],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[Q行政大樓OR圖書館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[Q行政大樓OR圖書館],[0-5分鐘],",資訊學院
2,"[不在學校],","[不在學校],","[不在學校],","[不在學校],","[不在學校],,",資訊學院
0,"[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[EE綜合教學大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[EE綜合教學大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,",資訊學院
